"database_name","schema_name","table_name","object_type","approximate_rows","create_date","modify_date"
"HnnDW","dbo","Fact_OOS_202309","TABLE","332259","05.08.2024 17:25:24","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202310","TABLE","316627","05.08.2024 17:41:08","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202311","TABLE","380575","05.08.2024 17:57:39","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202312","TABLE","423973","05.08.2024 18:15:08","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202401","TABLE","643814","17.08.2024 12:18:44","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202402","TABLE","710594","21.08.2024 13:15:31","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202403","TABLE","879378","21.08.2024 13:17:18","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202404","TABLE","1099904","21.08.2024 13:18:43","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202405","TABLE","1253061","21.08.2024 13:20:35","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202406","TABLE","1053747","21.08.2024 13:24:57","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202407","TABLE","1624792","21.08.2024 13:27:03","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202408","TABLE","1652538","31.08.2024 20:14:00","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202409","TABLE","1593072","07.09.2024 9:34:32","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202410","TABLE","1513053","01.10.2024 2:16:20","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202411","TABLE","1254365","16.11.2024 5:47:23","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202412","TABLE","1233218","01.12.2024 3:37:36","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202501","TABLE","1117263","01.01.2025 22:13:27","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202502","TABLE","1111664","01.02.2025 22:40:43","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202503","TABLE","22280174","02.03.2025 3:51:40","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202504","TABLE","1078856","01.04.2025 22:59:26","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202505","TABLE","876270","01.05.2025 23:04:19","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202506","TABLE","1272698","01.06.2025 22:17:07","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202507","TABLE","868006","01.07.2025 22:15:13","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202508","TABLE","664380","01.08.2025 22:18:48","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202509","TABLE","623193","01.09.2025 22:12:41","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202510","TABLE","711934","01.10.2025 22:12:21","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202511","TABLE","575769","01.11.2025 22:21:56","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202512","TABLE","676676","01.12.2025 22:15:19","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202601","TABLE","590480","01.01.2026 22:14:38","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202602","TABLE","851176","01.02.2026 22:08:26","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202603","TABLE","943724","01.03.2026 22:08:44","18.04.2026 22:11:58"
"HnnDW","dbo","Fact_OOS_202604","TABLE","910950","01.04.2026 22:08:40","16.05.2026 22:28:51"
"HnnDW","dbo","Fact_OOS_202605","TABLE","800256","01.05.2026 22:12:13","04.06.2026 22:08:50"
"HnnDW","dbo","Fact_OOS_202606","TABLE","749831","01.06.2026 22:09:32","18.07.2026 22:12:09"
"HnnDW","dbo","Fact_OOS_202607","TABLE","812761","01.07.2026 22:09:46","15.08.2026 22:20:21"
"HnnDW","dbo","Fact_OOS_202608","TABLE","709748","01.08.2026 22:23:09","31.08.2026 22:08:31"
"HnnDW","dbo","Fact_OSA","VIEW","0","31.08.2026 23:12:15","31.08.2026 23:12:15"
"HnnDW","dbo","Fact_OSA_202211","TABLE","0","30.07.2024 23:32:39","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202212","TABLE","38749","30.07.2024 23:33:53","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202301","TABLE","307265","30.07.2024 23:34:22","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202302","TABLE","4763888","30.07.2024 23:35:05","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202303","TABLE","16194492","31.07.2024 2:44:28","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202304","TABLE","26271435","31.07.2024 5:56:31","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202305","TABLE","32550243","31.07.2024 9:00:00","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202306","TABLE","35538041","31.07.2024 11:53:39","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202307","TABLE","46256671","31.07.2024 14:50:17","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202308","TABLE","63072500","31.07.2024 17:47:20","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202309","TABLE","57012584","31.07.2024 20:51:46","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202310","TABLE","54823832","31.07.2024 23:48:06","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202311","TABLE","51270361","01.08.2024 2:44:13","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202312","TABLE","47990134","01.08.2024 5:50:43","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202401","TABLE","38320265","20.08.2024 9:51:04","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202402","TABLE","33290386","20.08.2024 15:00:58","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202403","TABLE","30074338","20.08.2024 17:13:16","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202404","TABLE","28208288","20.08.2024 19:03:52","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202405","TABLE","45173311","20.08.2024 20:48:23","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202406","TABLE","42805586","20.08.2024 22:59:23","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202407","TABLE","49671153","21.08.2024 1:21:20","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202408","TABLE","49103325","31.08.2024 20:18:18","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202409","TABLE","44155532","07.09.2024 10:14:04","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202410","TABLE","48556898","01.10.2024 2:55:31","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202411","TABLE","43125199","14.11.2024 11:26:25","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202412","TABLE","44187374","01.12.2024 3:53:22","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202501","TABLE","36459468","01.01.2025 22:22:31","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202502","TABLE","41017257","02.02.2025 10:29:55","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202503","TABLE","42442553","02.03.2025 11:49:49","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202504","TABLE","42361477","01.04.2025 23:36:41","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202505","TABLE","36057459","02.05.2025 0:09:21","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202506","TABLE","34287590","01.06.2025 8:00:41","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202507","TABLE","28854621","01.07.2025 22:51:01","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202508","TABLE","26418557","01.08.2025 23:16:43","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202509","TABLE","27066064","01.09.2025 22:57:48","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202510","TABLE","28737754","01.10.2025 22:57:35","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202511","TABLE","24250998","02.11.2025 6:04:50","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202512","TABLE","27939193","01.12.2025 23:01:15","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202601","TABLE","21046911","01.01.2026 22:47:04","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202602","TABLE","26512718","01.02.2026 4:28:34","15.04.2026 16:16:35"
"HnnDW","dbo","Fact_OSA_202603","TABLE","28792510","01.03.2026 4:37:52","15.04.2026 16:16:35"
