"visit_id","aggregate_visit_id","visit_date","store_id","agent_master_id"
"3006689_1003610_20260716","850294537_20260716_1549","16.07.2026 0:00:00","850294537","3006689"
"3006689_1003610_20260723","850294537_20260723_1549","23.07.2026 0:00:00","850294537","3006689"
"3006689_1003714_20260715","850069443_20260715_1549","15.07.2026 0:00:00","850069443","3006689"
"3006689_1003714_20260717","850069443_20260717_1549","17.07.2026 0:00:00","850069443","3006689"
"3006689_1003714_20260722","850069443_20260722_1549","22.07.2026 0:00:00","850069443","3006689"
"3006689_1006780_20260709","850270028_20260709_1549","09.07.2026 0:00:00","850270028","3006689"
"3006689_1006780_20260716","850270028_20260716_1549","16.07.2026 0:00:00","850270028","3006689"
"3006689_1006780_20260723","850270028_20260723_1549","23.07.2026 0:00:00","850270028","3006689"
"3006689_1010254_20260709","850200342_20260709_1549","09.07.2026 0:00:00","850200342","3006689"
"3006689_1010254_20260716","850200342_20260716_1549","16.07.2026 0:00:00","850200342","3006689"
"3006689_1010254_20260721","850200342_20260721_1549","21.07.2026 0:00:00","850200342","3006689"
"3006689_1010556_20260716","850245218_20260716_1549","16.07.2026 0:00:00","850245218","3006689"
"3006689_1010556_20260721","850245218_20260721_1549","21.07.2026 0:00:00","850245218","3006689"
"3006689_1012012_20260709","850104562_20260709_1549","09.07.2026 0:00:00","850104562","3006689"
"3006689_1012012_20260713","850104562_20260713_1549","13.07.2026 0:00:00","850104562","3006689"
"3006689_1012012_20260720","850104562_20260720_1549","20.07.2026 0:00:00","850104562","3006689"
"3006689_1013801_20260708","850285723_20260708_1549","08.07.2026 0:00:00","850285723","3006689"
"3006689_1013801_20260710","850285723_20260710_1549","10.07.2026 0:00:00","850285723","3006689"
"3006689_1013801_20260715","850285723_20260715_1549","15.07.2026 0:00:00","850285723","3006689"
"3006689_1013801_20260717","850285723_20260717_1549","17.07.2026 0:00:00","850285723","3006689"
"3006689_1013801_20260722","850285723_20260722_1549","22.07.2026 0:00:00","850285723","3006689"
"3006689_1016719_20260709","850200343_20260709_1549","09.07.2026 0:00:00","850200343","3006689"
"3006689_1016719_20260714","850200343_20260714_1549","14.07.2026 0:00:00","850200343","3006689"
"3006689_1016719_20260721","850200343_20260721_1549","21.07.2026 0:00:00","850200343","3006689"
"3006689_1017927_20260708","850195858_20260708_1549","08.07.2026 0:00:00","850195858","3006689"
"3006689_1017927_20260710","850195858_20260710_1549","10.07.2026 0:00:00","850195858","3006689"
"3006689_1017927_20260715","850195858_20260715_1549","15.07.2026 0:00:00","850195858","3006689"
"3006689_1017927_20260717","850195858_20260717_1549","17.07.2026 0:00:00","850195858","3006689"
"3006689_1017927_20260722","850195858_20260722_1549","22.07.2026 0:00:00","850195858","3006689"
"3006689_1017927_20260724","850195858_20260724_1549","24.07.2026 0:00:00","850195858","3006689"
"3006689_1019958_20260708","850104619_20260708_1549","08.07.2026 0:00:00","850104619","3006689"
"3006689_1019958_20260717","850104619_20260717_1549","17.07.2026 0:00:00","850104619","3006689"
"3006689_1019958_20260722","850104619_20260722_1549","22.07.2026 0:00:00","850104619","3006689"
"3006689_1019958_20260724","850104619_20260724_1549","24.07.2026 0:00:00","850104619","3006689"
"3006689_1019999_20260708","850284556_20260708_1549","08.07.2026 0:00:00","850284556","3006689"
"3006689_1019999_20260722","850284556_20260722_1549","22.07.2026 0:00:00","850284556","3006689"
"3006689_1133719_20260709","850302927_20260709_1549","09.07.2026 0:00:00","850302927","3006689"
"3006689_1133719_20260714","850302927_20260714_1549","14.07.2026 0:00:00","850302927","3006689"
"3006689_1133719_20260721","850302927_20260721_1549","21.07.2026 0:00:00","850302927","3006689"
"3006689_1139492_20260709","850296641_20260709_1549","09.07.2026 0:00:00","850296641","3006689"
"3006689_1139492_20260714","850296641_20260714_1549","14.07.2026 0:00:00","850296641","3006689"
"3006689_1139492_20260721","850296641_20260721_1549","21.07.2026 0:00:00","850296641","3006689"
"3006689_1143258_20260709","850200344_20260709_1549","09.07.2026 0:00:00","850200344","3006689"
"3006689_1143258_20260723","850200344_20260723_1549","23.07.2026 0:00:00","850200344","3006689"
"3006689_1184815_20260709","850307663_20260709_1549","09.07.2026 0:00:00","850307663","3006689"
"3006689_1184815_20260716","850307663_20260716_1549","16.07.2026 0:00:00","850307663","3006689"
