"store_id","network_code","network_name","store_format","city","business_unit","sales_group"
"850298073","MAGNIT","""АО ""ТАНДЕР"" 620206  ""","NATIONAL KEY ACCOUNT","Г. РЯЗАНЬ","MOSCOW","RYAZAN"
"850298077","MAGNIT","""АО ""ТАНДЕР"" 608486  ""","NATIONAL KEY ACCOUNT","Г. САРАНСК","CENTRE","SARANSK"
"850298084","MAGNIT","""АО ""ТАНДЕР"" 514409  ""","NATIONAL KEY ACCOUNT","Г. УДОМЛЯ","WEST","TVER"
"850298085","MAGNIT","""АО ""ТАНДЕР"" 669966  ""","NATIONAL KEY ACCOUNT","Г. ТВЕРЬ","WEST","TVER"
"850298095","MAGNIT","""АО ""ТАНДЕР"" 761992  ""","NATIONAL KEY ACCOUNT","Г. КАЛУГА","MOSCOW","KALUGA"
"850298111","PYATEROCHKA","""ООО ""АГРОТОРГ"" 22407-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. СОЧИ","SOUTH","BLACK SEA COAST"
"850298121","MAGNIT","""АО ""ТАНДЕР"" 653954  ""","NATIONAL KEY ACCOUNT","Г. БАРНАУЛ","SIBERIA","BARNAUL"
"850298127","MAGNIT","""АО ""ТАНДЕР"" 603913  ""","NATIONAL KEY ACCOUNT","Г. НОВОСИБИРСК","SIBERIA","NOVOSIBIRSK"
"850298129","MAGNIT","""АО ""ТАНДЕР"" 538330  ""","NATIONAL KEY ACCOUNT","Г. НОВОСИБИРСК","SIBERIA","NOVOSIBIRSK"
"850298133","MAGNIT","""АО ""ТАНДЕР"" 408038  ""","NATIONAL KEY ACCOUNT","Г. НОВОСИБИРСК","SIBERIA","NOVOSIBIRSK"
"850298134","MAGNIT","""АО ""ТАНДЕР"" 701018  ""","NATIONAL KEY ACCOUNT","Г. НОВОСИБИРСК","SIBERIA","NOVOSIBIRSK"
"850298136","MAGNIT","""АО ""ТАНДЕР"" 965437  ""","NATIONAL KEY ACCOUNT","Г. МЕЖДУРЕЧЕНСК","SIBERIA","NOVOKUZNETSK"
